"scenario_type","observable_behavior","possible_causes","reliability_impact","contradiction_link","recommended_questions","misinterpretation_risk","notes",""
"time_perception_8","changes stated time after seeing a clock record","stress-distorted time sense; lack of clock checks; routine-driven guesses","medium","TMP if precise timing is critical to the case","What were you doing just before and just after, that might anchor the time?","medium","Subjective time is fragile and often drifts away from exact clocks.",""
"time_perception_9","describes time as 'frozen' during key moment","stress-distorted time sense; lack of clock checks; routine-driven guesses","medium","TMP if precise timing is critical to the case","What were you doing just before and just after, that might anchor the time?","medium","Subjective time is fragile and often drifts away from exact clocks.",""
"time_perception_10","says everything felt like it happened 'all at once'","stress-distorted time sense; lack of clock checks; routine-driven guesses","medium","TMP if precise timing is critical to the case","What were you doing just before and just after, that might anchor the time?","medium","Subjective time is fragile and often drifts away from exact clocks.",""
"self_presentation_1","downplays their own mistakes in the story","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_2","highlights helpful actions more than neutral ones","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_3","avoids mentioning behavior that might look selfish","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_4","emphasizes being calm and rational throughout","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_5","presents themselves as more passive than others describe","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_6","frames choices as having 'no other option'","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_7","describes themselves as mainly an observer","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_8","stresses how fair and balanced they tried to be","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_9","blames confusion on others but not on themselves","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"self_presentation_10","focuses on protecting others' reputations","normal image management; shame; fear of judgment","medium","ALI/CAU if omissions relate directly to disputed actions","Is there anything you hesitate to include because it might reflect badly on you?","medium","People naturally protect their image, even while trying to be truthful.",""
"question_comprehension_1","answers a slightly different question than the one asked","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_2","asks for the question to be repeated several times","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_3","focuses on one word in the question and ignores the rest","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_4","seems confused by multi-part questions","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_5","gives unrelated detail before addressing the main point","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_6","responds to implications instead of literal wording","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_7","answers as if the question were accusatory when it is not","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_8","deflects from unclear questions with humor","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_9","misunderstands time frames embedded in questions","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"question_comprehension_10","mixes up who is being referred to in complex questions","cognitive load; language differences; stress mishearing","medium","may amplify TMP if misunderstood questions guide answers","Could I restate that question more simply, to be sure we are on the same page?","medium","Misunderstanding a question can create contradictions that are not deliberate.",""
"document_influence_1","adjusts their story after being shown a written statement","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_2","changes sequence after seeing a log entry","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_3","updates times once confronted with phone records","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_4","fills in gaps that match what is written but not their memory","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_5","seems relieved when a document 'confirms' their version","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_6","adopts phrasing from official forms into their story","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_7","tries to align their recall with camera timestamps","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_8","discounts their own memory if a document disagrees","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_9","relies heavily on text messages to reconstruct events","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"document_influence_10","assumes documents must be right even when unsure","trust in records; doubt about own memory; desire to be accurate","medium","TMP/ALI when documents are incomplete or ambiguous themselves","Before seeing these records, how did you remember that part of the event?","medium","Records can clarify or distort recall, depending on how they are introduced.",""
"fragmented_narrative_1","tells the story in short disconnected pieces","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_2","jumps backward and forward in time without transitions","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_3","keeps returning to the same moment repeatedly","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_4","abandons one thread halfway through to start another","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_5","struggles to give a simple beginning-to-end version","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_6","uses fragments like 'and then' without clear links","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_7","relies on isolated scenes rather than a full narrative","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_8","has difficulty summarizing the overall sequence","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_9","remembers vivid 'snapshots' rather than a flow","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"fragmented_narrative_10","switches perspective between first and third person","trauma-related fragmentation; cognitive overload; storytelling style","medium","TMP if contradictions are judged without considering fragmentation","Could we try mapping the key moments on a simple timeline together?","medium","Fragmented accounts can still contain accurate pieces of information.",""
"defensive_reaction_1","responds to neutral questions as if they are accusations","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_2","raises voice when small inconsistencies are mentioned","past negative experiences; shame; feeling cornered","high","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_3","becomes sarcastic when details are probed","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_4","refuses to discuss certain topics without explanation","past negative experiences; shame; feeling cornered","high","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_5","starts defending character instead of describing events","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_6","shifts focus to perceived unfairness of process","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_7","uses phrases like 'you people always' toward interviewers","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_8","insists their honesty should be obvious","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_9","accuses others of lying when contradictions appear","past negative experiences; shame; feeling cornered","high","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"defensive_reaction_10","asks why they are not being believed","past negative experiences; shame; feeling cornered","medium","may hide TMP/ALI conflicts if topics are avoided","What about this process feels uncomfortable or unfair to you right now?","high","Defensiveness can signal emotional threat more than factual unreliability.",""
"context_shift_1","gives more detail in informal settings than formal ones","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_2","omits sensitive parts when others are in the room","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_3","seems more relaxed and talkative outside official spaces","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_4","contradicts formal statement in later casual conversation","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_5","adds emotional content in private that was absent before","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_6","avoids eye contact only in group interviews","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_7","gives shorter answers when someone they know is present","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_8","becomes more precise after building rapport","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_9","volunteers more information after break time","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"context_shift_10","reveals new concerns when asked away from authority figures","environmental pressure; privacy concerns; varying sense of safety","medium","TMP/ALI if only one context is treated as 'true'","Do you feel more or less comfortable speaking here compared to earlier?","medium","Setting strongly influences how much and how deeply people share.",""
"physical_state_1","appears very tired and struggles to focus on questions","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_2","mentions being hungry or dizzy during the interview","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_3","is distracted by pain or discomfort while recalling events","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_4","reports having taken medication that affects alertness","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_5","yawns frequently despite trying to stay engaged","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_6","has difficulty sitting still due to physical strain","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_7","mentions not having slept well before the interview","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_8","complains about room temperature being too hot or cold","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_9","asks repeatedly how long the interview will last","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"physical_state_10","seems to lose concentration as time goes on","fatigue; illness; environmental discomfort","medium","TMP if errors cluster when physical strain is highest","Would taking a short break or rescheduling help you think more clearly?","medium","Physical strain can quietly undermine accuracy without anyone noticing.",""
"language_barrier_1","struggles to find words in non-native language","limited language proficiency; cultural framing; interpreter lag","medium","TMP/ID if misunderstandings change who did what when","Would you prefer we slow down, rephrase, or use different words for any part?","high","Language gaps can generate contradictions that are really translation problems.",""
"language_barrier_2","relies on interpreter for complex parts of story","limited language proficiency; cultural framing; interpreter lag","medium","TMP/ID if misunderstandings change who did what when","Would you prefer we slow down, rephrase, or use different words for any part?","high","Language gaps can generate contradictions that are really translation problems.",""
"language_barrier_3","uses idioms that do not translate cleanly","limited language proficiency; cultural framing; interpreter lag","medium",""TMP/ID if","","","",""
