lighting_condition,distance_to_event,stress_level,familiarity_with_subject,sensory_clarity,reliability_score,likely_failure_modes,notes
normal indoor,very far (>30m),panicked,familiar,low,0.18,missing details; misperception,Typical indoor lighting conditions. Witness was observing from far away. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
normal indoor,very far (>30m),panicked,close acquaintance,low,0.19,missing details; misperception,Typical indoor lighting conditions. Witness was observing from far away. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,close (<3m),calm,none,high,0.72,minor detail loss,Scene was dimly lit. Witness was very close to the event. Witness remained relatively calm. No prior familiarity with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,close (<3m),calm,familiar,high,0.74,minor detail loss,Scene was dimly lit. Witness was very close to the event. Witness remained relatively calm. Generally familiar with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,close (<3m),calm,close acquaintance,high,0.75,minor detail loss,Scene was dimly lit. Witness was very close to the event. Witness remained relatively calm. Close acquaintance or friend. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,close (<3m),mildly stressed,none,medium,0.63,missing details,"Scene was dimly lit. Witness was very close to the event. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
dim,close (<3m),mildly stressed,slight,medium,0.64,missing details,"Scene was dimly lit. Witness was very close to the event. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Recollection is usable but may lack some finer details."
dim,close (<3m),mildly stressed,familiar,medium,0.65,missing details,"Scene was dimly lit. Witness was very close to the event. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
dim,close (<3m),mildly stressed,close acquaintance,medium,0.66,missing details,"Scene was dimly lit. Witness was very close to the event. Witness reported mild stress. Close acquaintance or friend. Some features were clear, others less so. Recollection is usable but may lack some finer details."
dim,close (<3m),stressed,none,medium,0.55,misidentification,"Scene was dimly lit. Witness was very close to the event. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,close (<3m),stressed,slight,medium,0.56,misidentification,"Scene was dimly lit. Witness was very close to the event. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,close (<3m),stressed,familiar,medium,0.57,misidentification,"Scene was dimly lit. Witness was very close to the event. Witness was visibly tense. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,close (<3m),stressed,close acquaintance,low,0.42,misidentification,Scene was dimly lit. Witness was very close to the event. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is partial and should be cross-checked with other sources.
dim,close (<3m),panicked,none,medium,0.47,misidentification,"Scene was dimly lit. Witness was very close to the event. Witness described feeling panicked. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,close (<3m),panicked,slight,medium,0.48,misidentification,"Scene was dimly lit. Witness was very close to the event. Witness described feeling panicked. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,close (<3m),panicked,familiar,low,0.33,misidentification; time distortion,"Scene was dimly lit. Witness was very close to the event. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,close (<3m),panicked,close acquaintance,low,0.34,misidentification; time distortion,"Scene was dimly lit. Witness was very close to the event. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,medium (3–10m),calm,slight,high,0.68,time distortion,Scene was dimly lit. Witness observed from moderate distance. Witness remained relatively calm. Only slight prior familiarity. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,medium (3–10m),calm,familiar,high,0.69,time distortion,Scene was dimly lit. Witness observed from moderate distance. Witness remained relatively calm. Generally familiar with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,medium (3–10m),calm,close acquaintance,high,0.7,time distortion,Scene was dimly lit. Witness observed from moderate distance. Witness remained relatively calm. Close acquaintance or friend. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
dim,medium (3–10m),mildly stressed,slight,medium,0.54,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),mildly stressed,familiar,medium,0.55,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),mildly stressed,close acquaintance,medium,0.56,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness reported mild stress. Close acquaintance or friend. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),stressed,none,medium,0.46,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),stressed,slight,medium,0.47,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),stressed,familiar,medium,0.48,misidentification,"Scene was dimly lit. Witness observed from moderate distance. Witness was visibly tense. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,medium (3–10m),stressed,close acquaintance,low,0.33,misidentification; time distortion,"Scene was dimly lit. Witness observed from moderate distance. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,medium (3–10m),panicked,none,low,0.27,misidentification; time distortion,"Scene was dimly lit. Witness observed from moderate distance. Witness described feeling panicked. No prior familiarity with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,medium (3–10m),panicked,slight,low,0.28,misidentification; time distortion,"Scene was dimly lit. Witness observed from moderate distance. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,medium (3–10m),panicked,familiar,low,0.29,misidentification; time distortion,"Scene was dimly lit. Witness observed from moderate distance. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,far (10–30m),calm,none,medium,0.49,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness remained relatively calm. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),calm,slight,medium,0.5,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness remained relatively calm. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),calm,familiar,medium,0.51,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness remained relatively calm. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),calm,close acquaintance,medium,0.52,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness remained relatively calm. Close acquaintance or friend. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),mildly stressed,slight,medium,0.45,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),mildly stressed,familiar,medium,0.46,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),mildly stressed,close acquaintance,low,0.31,misidentification; time distortion,"Scene was dimly lit. Witness watched from across the area. Witness reported mild stress. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,far (10–30m),stressed,slight,medium,0.37,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),stressed,familiar,medium,0.38,misidentification,"Scene was dimly lit. Witness watched from across the area. Witness was visibly tense. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
dim,far (10–30m),stressed,close acquaintance,low,0.24,missing details; memory blending,Scene was dimly lit. Witness watched from across the area. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,far (10–30m),panicked,none,low,0.18,missing details; memory blending,Scene was dimly lit. Witness watched from across the area. Witness described feeling panicked. No prior familiarity with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,far (10–30m),panicked,slight,low,0.19,missing details; memory blending,Scene was dimly lit. Witness watched from across the area. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),calm,none,medium,0.34,misidentification; time distortion,"Scene was dimly lit. Witness was observing from far away. Witness remained relatively calm. No prior familiarity with the subject. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,very far (>30m),calm,slight,medium,0.35,misidentification; time distortion,"Scene was dimly lit. Witness was observing from far away. Witness remained relatively calm. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,very far (>30m),calm,familiar,low,0.2,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness remained relatively calm. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),calm,close acquaintance,low,0.21,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness remained relatively calm. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),mildly stressed,slight,medium,0.29,misidentification; time distortion,"Scene was dimly lit. Witness was observing from far away. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,very far (>30m),mildly stressed,familiar,low,0.19,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness reported mild stress. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),mildly stressed,close acquaintance,low,0.2,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness reported mild stress. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),stressed,slight,medium,0.31,misidentification; time distortion,"Scene was dimly lit. Witness was observing from far away. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
dim,very far (>30m),stressed,familiar,low,0.2,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness was visibly tense. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),stressed,close acquaintance,low,0.21,missing details; memory blending,Scene was dimly lit. Witness was observing from far away. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),panicked,slight,low,0.14,missing details; misperception,Scene was dimly lit. Witness was observing from far away. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),panicked,familiar,low,0.15,missing details; misperception,Scene was dimly lit. Witness was observing from far away. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
dim,very far (>30m),panicked,close acquaintance,low,0.16,missing details; misperception,Scene was dimly lit. Witness was observing from far away. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,close (<3m),calm,none,high,0.7,time distortion,Very low ambient light. Witness was very close to the event. Witness remained relatively calm. No prior familiarity with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,close (<3m),calm,slight,high,0.71,time distortion,Very low ambient light. Witness was very close to the event. Witness remained relatively calm. Only slight prior familiarity. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,close (<3m),calm,familiar,high,0.72,time distortion,Very low ambient light. Witness was very close to the event. Witness remained relatively calm. Generally familiar with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,close (<3m),calm,close acquaintance,high,0.73,time distortion,Very low ambient light. Witness was very close to the event. Witness remained relatively calm. Close acquaintance or friend. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,close (<3m),mildly stressed,none,medium,0.61,missing details,"Very low ambient light. Witness was very close to the event. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
low-light,close (<3m),mildly stressed,slight,medium,0.62,missing details,"Very low ambient light. Witness was very close to the event. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Recollection is usable but may lack some finer details."
low-light,close (<3m),mildly stressed,familiar,medium,0.63,missing details,"Very low ambient light. Witness was very close to the event. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
low-light,close (<3m),mildly stressed,close acquaintance,medium,0.64,missing details,"Very low ambient light. Witness was very close to the event. Witness reported mild stress. Close acquaintance or friend. Some features were clear, others less so. Recollection is usable but may lack some finer details."
low-light,close (<3m),stressed,none,medium,0.53,misidentification,"Very low ambient light. Witness was very close to the event. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,close (<3m),stressed,slight,medium,0.54,misidentification,"Very low ambient light. Witness was very close to the event. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,close (<3m),stressed,familiar,low,0.39,misidentification,Very low ambient light. Witness was very close to the event. Witness was visibly tense. Generally familiar with the subject. Key features were difficult to make out. Account is partial and should be cross-checked with other sources.
low-light,close (<3m),stressed,close acquaintance,low,0.4,misidentification,Very low ambient light. Witness was very close to the event. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is partial and should be cross-checked with other sources.
low-light,close (<3m),panicked,none,medium,0.45,misidentification,"Very low ambient light. Witness was very close to the event. Witness described feeling panicked. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,close (<3m),panicked,slight,medium,0.46,misidentification,"Very low ambient light. Witness was very close to the event. Witness described feeling panicked. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,close (<3m),panicked,familiar,low,0.31,misidentification; time distortion,"Very low ambient light. Witness was very close to the event. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,close (<3m),panicked,close acquaintance,low,0.32,misidentification; time distortion,"Very low ambient light. Witness was very close to the event. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,medium (3–10m),calm,slight,high,0.64,missing details,Very low ambient light. Witness observed from moderate distance. Witness remained relatively calm. Only slight prior familiarity. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,medium (3–10m),calm,familiar,high,0.65,missing details,Very low ambient light. Witness observed from moderate distance. Witness remained relatively calm. Generally familiar with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,medium (3–10m),calm,close acquaintance,high,0.66,missing details,Very low ambient light. Witness observed from moderate distance. Witness remained relatively calm. Close acquaintance or friend. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
low-light,medium (3–10m),mildly stressed,none,medium,0.56,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),mildly stressed,slight,medium,0.57,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),mildly stressed,familiar,medium,0.58,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),mildly stressed,close acquaintance,medium,0.59,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness reported mild stress. Close acquaintance or friend. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),stressed,none,medium,0.48,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),stressed,slight,medium,0.49,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),stressed,familiar,medium,0.5,misidentification,"Very low ambient light. Witness observed from moderate distance. Witness was visibly tense. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,medium (3–10m),stressed,close acquaintance,low,0.35,misidentification; time distortion,"Very low ambient light. Witness observed from moderate distance. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,medium (3–10m),panicked,none,low,0.29,misidentification; time distortion,"Very low ambient light. Witness observed from moderate distance. Witness described feeling panicked. No prior familiarity with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,medium (3–10m),panicked,slight,low,0.3,misidentification; time distortion,"Very low ambient light. Witness observed from moderate distance. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,medium (3–10m),panicked,familiar,low,0.31,misidentification; time distortion,"Very low ambient light. Witness observed from moderate distance. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,medium (3–10m),panicked,close acquaintance,low,0.32,misidentification; time distortion,"Very low ambient light. Witness observed from moderate distance. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,far (10–30m),calm,none,medium,0.49,misidentification,"Very low ambient light. Witness watched from across the area. Witness remained relatively calm. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),calm,slight,medium,0.5,misidentification,"Very low ambient light. Witness watched from across the area. Witness remained relatively calm. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),calm,familiar,medium,0.51,misidentification,"Very low ambient light. Witness watched from across the area. Witness remained relatively calm. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),calm,close acquaintance,medium,0.52,misidentification,"Very low ambient light. Witness watched from across the area. Witness remained relatively calm. Close acquaintance or friend. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),mildly stressed,none,medium,0.41,misidentification,"Very low ambient light. Witness watched from across the area. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),mildly stressed,slight,medium,0.42,misidentification,"Very low ambient light. Witness watched from across the area. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),mildly stressed,familiar,medium,0.43,misidentification,"Very low ambient light. Witness watched from across the area. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,far (10–30m),mildly stressed,close acquaintance,low,0.28,misidentification; time distortion,"Very low ambient light. Witness watched from across the area. Witness reported mild stress. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,far (10–30m),stressed,none,medium,0.33,misidentification; time distortion,"Very low ambient light. Witness watched from across the area. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,far (10–30m),stressed,slight,medium,0.34,misidentification; time distortion,"Very low ambient light. Witness watched from across the area. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,far (10–30m),stressed,familiar,low,0.19,missing details; memory blending,Very low ambient light. Witness watched from across the area. Witness was visibly tense. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,far (10–30m),stressed,close acquaintance,low,0.2,missing details; memory blending,Very low ambient light. Witness watched from across the area. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,far (10–30m),panicked,none,low,0.14,missing details; misperception,Very low ambient light. Witness watched from across the area. Witness described feeling panicked. No prior familiarity with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,far (10–30m),panicked,slight,low,0.15,missing details; misperception,Very low ambient light. Witness watched from across the area. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,far (10–30m),panicked,familiar,low,0.16,missing details; misperception,Very low ambient light. Witness watched from across the area. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),calm,none,medium,0.39,misidentification,"Very low ambient light. Witness was observing from far away. Witness remained relatively calm. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,very far (>30m),calm,slight,medium,0.4,misidentification,"Very low ambient light. Witness was observing from far away. Witness remained relatively calm. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
low-light,very far (>30m),calm,familiar,low,0.25,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness remained relatively calm. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),calm,close acquaintance,low,0.26,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness remained relatively calm. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),mildly stressed,none,medium,0.31,misidentification; time distortion,"Very low ambient light. Witness was observing from far away. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,very far (>30m),mildly stressed,slight,medium,0.32,misidentification; time distortion,"Very low ambient light. Witness was observing from far away. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,very far (>30m),mildly stressed,familiar,low,0.2,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness reported mild stress. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),mildly stressed,close acquaintance,low,0.21,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness reported mild stress. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),stressed,none,medium,0.33,misidentification; time distortion,"Very low ambient light. Witness was observing from far away. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,very far (>30m),stressed,slight,medium,0.34,misidentification; time distortion,"Very low ambient light. Witness was observing from far away. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is fragile; use primarily as a lead, not a stand-alone source."
low-light,very far (>30m),stressed,familiar,low,0.2,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness was visibly tense. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),stressed,close acquaintance,low,0.21,missing details; memory blending,Very low ambient light. Witness was observing from far away. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),panicked,none,low,0.14,missing details; misperception,Very low ambient light. Witness was observing from far away. Witness described feeling panicked. No prior familiarity with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),panicked,slight,low,0.15,missing details; misperception,Very low ambient light. Witness was observing from far away. Witness described feeling panicked. Only slight prior familiarity. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),panicked,familiar,low,0.16,missing details; misperception,Very low ambient light. Witness was observing from far away. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
low-light,very far (>30m),panicked,close acquaintance,low,0.17,missing details; misperception,Very low ambient light. Witness was observing from far away. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is highly unreliable and best treated as background context.
backlit,close (<3m),calm,none,high,0.73,time distortion,Strong backlighting behind the subject. Witness was very close to the event. Witness remained relatively calm. No prior familiarity with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
backlit,close (<3m),calm,familiar,high,0.75,minor detail loss,Strong backlighting behind the subject. Witness was very close to the event. Witness remained relatively calm. Generally familiar with the subject. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
backlit,close (<3m),calm,close acquaintance,high,0.76,minor detail loss,Strong backlighting behind the subject. Witness was very close to the event. Witness remained relatively calm. Close acquaintance or friend. Details appeared sharp and distinct. Recollection is usable but may lack some finer details.
backlit,close (<3m),mildly stressed,none,medium,0.64,missing details,"Strong backlighting behind the subject. Witness was very close to the event. Witness reported mild stress. No prior familiarity with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
backlit,close (<3m),mildly stressed,slight,medium,0.65,missing details,"Strong backlighting behind the subject. Witness was very close to the event. Witness reported mild stress. Only slight prior familiarity. Some features were clear, others less so. Recollection is usable but may lack some finer details."
backlit,close (<3m),mildly stressed,familiar,medium,0.66,missing details,"Strong backlighting behind the subject. Witness was very close to the event. Witness reported mild stress. Generally familiar with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
backlit,close (<3m),mildly stressed,close acquaintance,medium,0.67,missing details,"Strong backlighting behind the subject. Witness was very close to the event. Witness reported mild stress. Close acquaintance or friend. Some features were clear, others less so. Recollection is usable but may lack some finer details."
backlit,close (<3m),stressed,none,medium,0.56,misidentification,"Strong backlighting behind the subject. Witness was very close to the event. Witness was visibly tense. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
backlit,close (<3m),stressed,slight,medium,0.57,misidentification,"Strong backlighting behind the subject. Witness was very close to the event. Witness was visibly tense. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
backlit,close (<3m),stressed,familiar,low,0.42,misidentification,Strong backlighting behind the subject. Witness was very close to the event. Witness was visibly tense. Generally familiar with the subject. Key features were difficult to make out. Account is partial and should be cross-checked with other sources.
backlit,close (<3m),stressed,close acquaintance,low,0.43,misidentification,Strong backlighting behind the subject. Witness was very close to the event. Witness was visibly tense. Close acquaintance or friend. Key features were difficult to make out. Account is partial and should be cross-checked with other sources.
backlit,close (<3m),panicked,none,medium,0.48,misidentification,"Strong backlighting behind the subject. Witness was very close to the event. Witness described feeling panicked. No prior familiarity with the subject. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
backlit,close (<3m),panicked,slight,medium,0.49,misidentification,"Strong backlighting behind the subject. Witness was very close to the event. Witness described feeling panicked. Only slight prior familiarity. Some features were clear, others less so. Account is partial and should be cross-checked with other sources."
backlit,close (<3m),panicked,familiar,low,0.34,misidentification; time distortion,"Strong backlighting behind the subject. Witness was very close to the event. Witness described feeling panicked. Generally familiar with the subject. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
backlit,close (<3m),panicked,close acquaintance,low,0.35,misidentification; time distortion,"Strong backlighting behind the subject. Witness was very close to the event. Witness described feeling panicked. Close acquaintance or friend. Key features were difficult to make out. Account is fragile; use primarily as a lead, not a stand-alone source."
